U.A.E(아랍에미리트 연방),ae
알바니아,al
아르메니아,am
아르헨티나,ar
오스트리아,at
호주,au
아제르바이잔,az
보스니아 헤르체고비나,ba
벨기에,be
불가리아,bg
바레인,bh
볼리비아,bo
브라질,br
캐나다,ca
스위스,ch
칠레,cl
중국,cn
콜롬비아,co
코스타리카,cr
체코,cz
독일,de
덴마크,dk
도미니카 공화국,do
알제리,dz
에콰도르,ec
에스토니아,ee
스페인,es
이집트,eg
핀란드,fi
프랑스,fr
영국,gb
조지아,ge
그리스,gr
과테말라,gt
홍콩 특별 행정구,hk
온두라스,hn
크로아티아,hr
헝가리,hu
인도네시아,id
아일랜드,ie
이스라엘,il
인도,in
이라크,iq
이란,ir
아이슬란드,is
이탈리아,it
요르단,jo
일본,jp
케냐,ke
한국,kr
쿠웨이트,kw
레바논,lb
리투아니아,lt
라트비아,lv
룩셈부르크,lu
리비아,ly
모로코,ma
마케도니아(FYR),mk
말타,mt
말레이시아,my
멕시코,mx
니카라과,ni
네덜란드,nl
뉴질랜드,nz
노르웨이,no
오만,om
파나마,pa
페루,pe
필리핀,ph
폴란드,pl
파키스탄,pk
푸에르토리코,pr
포르투갈,pt
파라과이,py
카타르,qa
루마니아,ro
러시아,ru
사우디아라비아,sa
스웨덴,se
싱가포르,sg
슬로바키아,sk
슬로베니아,sl
세르비아,sp
엘살바도르,sv
시리아,sy
타이완,tw
태국,th
튀니지,tn
터키,tr
우크라이나,ua
미국,us
베트남,vn
예멘,ye
남아프리카 공화국,za